state,region,station_name,county,local,Infection Suseptability,Infection Isolation,Rate of Spread
Florida,B ,Node 88,Node 88,Node 91,,,
Florida,B ,Node 92,Node 92,Node 93,,,
Florida,B ,Node 92,Node 92,Node 94,,,
Florida,B ,Node 92,Node 92,Node 95,,,
Florida,C,Node 97,Node 97,Node 98,,,
Florida,C,Node 97,Node 97,Node 99,,,
Florida,C,Node 97,Node 97,Node 100,,,
Florida,C,Node 101,Node 101,Node 102,,,
Florida,C,Node 101,Node 101,Node 103,,,
Florida,C,Node 101,Node 101,Node 104,,,
Florida,C,Node 105,Node 105,Node 106,,,
Florida,C,Node 105,Node 105,Node 107,,,
Florida,C,Node 105,Node 105,Node 108,,,
Florida,C,Node 109,Node 109,Node 110,,,
Florida,C,Node 109,Node 109,Node 111,,,
Florida,C,Node 109,Node 109,Node 112,,,
Florida,C,Node 113,Node 113,Node 114,,,
Florida,C,Node 113,Node 113,Node 115,,,
Florida,C,Node 113,Node 113,Node 116,,,
Florida,C,Node 117,Node 117,Node 118,,,
Florida,C,Node 117,Node 117,Node 119,,,
Florida,C,Node 117,Node 117,Node 120,,,
Florida,C,Node 121,Node 121,Node 122,,,
Florida,C,Node 121,Node 121,Node 123,,,
Florida,C,Node 121,Node 121,Node 124,,,
Florida,C,Node 125,Node 125,Node 126,,,
Florida,C,Node 125,Node 125,Node 127,,,
Florida,C,Node 125,Node 125,Node 128,,,
Florida,C,Node 129,Node 129,Node 130,,,
Florida,C,Node 129,Node 129,Node 131,,,
Florida,C,Node 129,Node 129,Node 132,,,
Florida,C,Node 133,Node 133,Node 134,,,
Florida,C,Node 133,Node 133,Node 135,,,
Florida,C,Node 133,Node 133,Node 136,,,
Florida,C,Node 137,Node 137,Node 138,,,
Florida,C,Node 137,Node 137,Node 139,,,
Florida,C,Node 137,Node 137,Node 140,,,
Florida,C,Node 141,Node 141,Node 142,,,
Florida,C,Node 141,Node 141,Node 143,,,
Florida,C,Node 141,Node 141,Node 144,,,
Florida,C,Node 145,Node 145,Node 146,,,
Florida,C,Node 145,Node 145,Node 147,,,
Florida,C,Node 145,Node 145,Node 148,,,
Florida,D,Node 150,Node 150,Node 151,,,
Florida,D,Node 150,Node 150,Node 152,,,
Florida,D,Node 150,Node 150,Node 153,,,
Florida,D,Node 154,Node 154,Node 155,,,
Florida,D,Node 154,Node 154,Node 156,,,
Florida,D,Node 154,Node 154,Node 157,,,
Florida,D,Node 158,Node 158,Node 159,,,
Florida,D,Node 158,Node 158,Node 160,,,
Florida,D,Node 158,Node 158,Node 161,,,
Florida,D,Node 162,Node 162,Node 163,,,
Florida,D,Node 162,Node 162,Node 164,,,
Florida,D,Node 162,Node 162,Node 165,,,
Florida,D,Node 166,Node 166,Node 167,,,
Florida,D,Node 166,Node 166,Node 168,,,
Florida,D,Node 166,Node 166,Node 169,,,
Florida,D,Node 170,Node 170,Node 171,,,
Florida,D,Node 170,Node 170,Node 172,,,
Florida,D,Node 170,Node 170,Node 173,,,
Florida,D,Node 174,Node 174,Node 175,,,
Florida,D,Node 174,Node 174,Node 176,,,
Florida,D,Node 174,Node 174,Node 177,,,
Florida,D,Node 178,Node 178,Node 179,,,
Florida,D,Node 178,Node 178,Node 180,,,
Florida,D,Node 178,Node 178,Node 181,,,
Florida,D,Node 182,Node 182,Node 183,,,
Florida,D,Node 182,Node 182,Node 184,,,
Florida,D,Node 182,Node 182,Node 185,,,
Florida,E, Node 187, Node 187,Node 188,,,
Florida,E, Node 187, Node 187,Node 189,,,
Florida,E, Node 187, Node 187,Node 190,,,
Florida,E, Node 191, Node 191,Node 192,,,
Florida,E, Node 191, Node 191,Node 193,,,
Florida,E, Node 191, Node 191,Node 194,,,
Florida,E, Node 195, Node 195,Node 196,,,
Florida,E, Node 195, Node 195,Node 197,,,
Florida,E, Node 195, Node 195,Node 198,,,
Florida,E,Node 199,Node 199,Node 200,,,
Florida,E,Node 199,Node 199,Node 201,,,
Florida,E,Node 199,Node 199,Node 202,,,
Florida,E,Node 203,Node 203,Node 204,,,
Florida,E,Node 203,Node 203,Node 205,,,
Florida,E,Node 203,Node 203,Node 206,,,
Florida,E,Node 207,Node 207,Node 208,,,
Florida,E,Node 207,Node 207,Node 209,,,
Florida,E,Node 207,Node 207,Node 210,,,
Florida,E,Node 211,Node 211,Node 212,,,
Florida,E,Node 211,Node 211,Node 213,,,
Florida,E,Node 211,Node 211,Node 214,,,
Florida,E,Node 215,Node 215,Node 216,,,
Florida,E,Node 215,Node 215,Node 217,,,
Florida,E,Node 215,Node 215,Node 218,,,
Florida,E,Node 219,Node 219,Node 220,,,
Florida,E,Node 219,Node 219,Node 221,,,
Florida,E,Node 219,Node 219,Node 222,,,
Florida,F,Node 234,Node 234,Node 235,,,
Florida,F,Node 234,Node 234,Node 236,,,
Florida,F,Node 234,Node 234,Node 237,,,
Florida,F,Node 238,Node 238,Node 239,,,
Florida,F,Node 238,Node 238,Node 240,,,
Florida,F,Node 238,Node 238,Node 241,,,
Florida,F,Node 242,Node 242,Node 243,,,
Florida,F,Node 242,Node 242,Node 244,,,
Florida,F,Node 242,Node 242,Node 245,,,
Florida,F,Node 246,Node 246,Node 247,,,
Florida,F,Node 246,Node 246,Node 248,,,
Florida,F,Node 246,Node 246,Node 249,,,
Florida,F,Node 250,Node 250,Node 251,,,
Florida,F,Node 250,Node 250,Node 252,,,
Florida,F,Node 250,Node 250,Node 253,,,
Florida,F,Node 254,Node 254,Node 255,,,
Florida,F,Node 254,Node 254,Node 256,,,
Florida,F,Node 254,Node 254,Node 257,,,
Florida,F,Node 258,Node 258,Node 259,,,
Florida,F,Node 258,Node 258,Node 260,,,
Florida,F,Node 258,Node 258,Node 261,,,
Florida,F,Node 262,Node 262,Node 263,,,
Florida,F,Node 262,Node 262,Node 264,,,
Florida,F,Node 262,Node 262,Node 265,,,
Florida,F,Node 266,Node 266,Node 267,,,
Florida,F,Node 266,Node 266,Node 268,,,
Florida,F,Node 266,Node 266,Node 269,,,
Florida,G,Node 271,Node 271,Node 272,,,
Florida,G,Node 271,Node 271,Node 273,,,
Florida,G,Node 271,Node 271,Node 274,,,
Florida,G,Node 275,Node 275,Node 276,,,
Florida,G,Node 275,Node 275,Node 277,,,
Florida,G,Node 275,Node 275,Node 278,,,
Florida,G,Node 279,Node 279,Node 280,,,
Florida,G,Node 279,Node 279,Node 281,,,
Florida,G,Node 279,Node 279,Node 282,,,
Florida,G,Node 283,Node 283,Node 284,,,
Florida,G,Node 283,Node 283,Node 285,,,
Florida,G,Node 283,Node 283,Node 286,,,
Pennsylvania,AA,Node 288,Node 288,Node 289,,,
Pennsylvania,AA,Node 288,Node 288,Node 290,,,
Pennsylvania,AA,Node 288,Node 288,Node 291,,,
Pennsylvania,AA,Node 292,Node 292,Node 293,,,
Pennsylvania,AA,Node 292,Node 292,Node 294,,,
Pennsylvania,AA,Node 292,Node 292,Node 295,,,
Pennsylvania,AA,Node 296,Node 296,Node 297,,,
Pennsylvania,AA,Node 296,Node 296,Node 298,,,
Pennsylvania,AA,Node 296,Node 296,Node 299,,,
Pennsylvania,AA,Node 300,Node 300,Node 301,,,
Pennsylvania,AA,Node 300,Node 300,Node 302,,,
Pennsylvania,AA,Node 300,Node 300,Node 303,,,
Pennsylvania,BB,Node 306,Node 306,Node 307,,,
Pennsylvania,BB,Node 306,Node 306,Node 308,,,
Pennsylvania,BB,Node 306,Node 306,Node 309,,,
Pennsylvania,BB,Node 310,Node 310,Node 311,,,
Pennsylvania,BB,Node 310,Node 310,Node 312,,,
Pennsylvania,BB,Node 310,Node 310,Node 313,,,
Pennsylvania,BB,Node 314,Node 314,Node 315,,,
Pennsylvania,BB,Node 314,Node 314,Node 316,,,
Pennsylvania,BB,Node 314,Node 314,Node 317,,,
Pennsylvania,BB,Node 318,Node 318,Node 319,,,
Pennsylvania,BB,Node 318,Node 318,Node 320,,,
Pennsylvania,BB,Node 318,Node 318,Node 321,,,
Pennsylvania,CC,Node 323,Node 323,Node 324,,,
Pennsylvania,CC,Node 323,Node 323,Node 325,,,
Pennsylvania,CC,Node 323,Node 323,Node 326,,,
Pennsylvania,CC,Node 327,Node 327,Node 328,,,
Pennsylvania,CC,Node 327,Node 327,Node 329,,,
Pennsylvania,CC,Node 327,Node 327,Node 330,,,
Pennsylvania,CC,Node 331,Node 331,Node 332,,,
Pennsylvania,CC,Node 331,Node 331,Node 333,,,
Pennsylvania,CC,Node 331,Node 331,Node 334,,,
Pennsylvania,CC,Node 335,Node 335,Node 336,,,
Pennsylvania,CC,Node 335,Node 335,Node 337,,,
Pennsylvania,CC,Node 335,Node 335,Node 338,,,
Pennsylvania,CC,Node 339,Node 339,Node 340,,,
Pennsylvania,CC,Node 339,Node 339,Node 341,,,
Pennsylvania,CC,Node 339,Node 339,Node 342,,,
Pennsylvania,CC,Node 343,Node 343,Node 344,,,
Pennsylvania,CC,Node 343,Node 343,Node 345,,,
Pennsylvania,CC,Node 343,Node 343,Node 346,,,
Pennsylvania,DD,Node 348,Node 348,Node 349,,,
Pennsylvania,DD,Node 348,Node 348,Node 350,,,
Pennsylvania,DD,Node 348,Node 348,Node 351,,,
Pennsylvania,DD,Node 352,Node 352,Node 353,,,
Pennsylvania,DD,Node 352,Node 352,Node 354,,,
Pennsylvania,DD,Node 352,Node 352,Node 355,,,
Pennsylvania,DD,Node 356,Node 356,Node 357,,,
Pennsylvania,DD,Node 356,Node 356,Node 358,,,
Pennsylvania,DD,Node 356,Node 356,Node 359,,,
Pennsylvania,DD,Node 360,Node 360,Node 361,,,
Pennsylvania,DD,Node 360,Node 360,Node 362,,,
Pennsylvania,DD,Node 360,Node 360,Node 363,,,
Pennsylvania,EE,Node 365,Node 365,Node 366,,,
Pennsylvania,EE,Node 365,Node 365,Node 367,,,
Pennsylvania,EE,Node 365,Node 365,Node 368,,,
Pennsylvania,EE,Node 369,Node 369,Node 370,,,
Pennsylvania,EE,Node 369,Node 369,Node 371,,,
Pennsylvania,EE,Node 369,Node 369,Node 372,,,
Pennsylvania,EE,Node 373,Node 373,Node 374,,,
Pennsylvania,EE,Node 373,Node 373,Node 375,,,
Pennsylvania,EE,Node 373,Node 373,Node 376,,,
Pennsylvania,EE,Node 377,Node 377,Node 378,,,
Pennsylvania,EE,Node 377,Node 377,Node 379,,,
Pennsylvania,EE,Node 377,Node 377,Node 380,,,
Pennsylvania,FF,Node 382,Node 382,Node 383,,,
Pennsylvania,FF,Node 382,Node 382,Node 384,,,
Pennsylvania,FF,Node 382,Node 382,Node 385,,,
Pennsylvania,FF,Node 386,Node 386,Node 387,,,
Pennsylvania,FF,Node 386,Node 386,Node 388,,,
Pennsylvania,FF,Node 386,Node 386,Node 389,,,
Pennsylvania,FF,Node 390,Node 390,Node 391,,,
Pennsylvania,FF,Node 390,Node 390,Node 392,,,
Pennsylvania,FF,Node 390,Node 390,Node 393,,,
Pennsylvania,FF,Node 394,Node 394,Node 395,,,
Pennsylvania,FF,Node 394,Node 394,Node 396,,,
Pennsylvania,FF,Node 394,Node 394,Node 397,,,
Pennsylvania,FF,Node 398,Node 398,Node 399,,,
Pennsylvania,FF,Node 398,Node 398,Node 400,,,
Pennsylvania,FF,Node 398,Node 398,Node 401,,,
Pennsylvania,FF,Node 402,Node 402,Node 403,,,
Pennsylvania,FF,Node 402,Node 402,Node 404,,,
Pennsylvania,FF,Node 402,Node 402,Node 405,,,
Pennsylvania,FF,Node 406,Node 406,Node 407,,,
Pennsylvania,FF,Node 406,Node 406,Node 408,,,
Pennsylvania,FF,Node 406,Node 406,Node 409,,,
Pennsylvania,FF,Node 410,Node 410,Node 411,,,
Pennsylvania,FF,Node 410,Node 410,Node 412,,,
Pennsylvania,FF,Node 410,Node 410,Node 413,,,
Pennsylvania,FF,Node 414,Node 414,Node 415,,,
Pennsylvania,FF,Node 414,Node 414,Node 416,,,
Pennsylvania,FF,Node 414,Node 414,Node 417,,,
Pennsylvania,GG,Node 419,Node 419,Node 420,,,
Pennsylvania,GG,Node 419,Node 419,Node 421,,,
Pennsylvania,GG,Node 419,Node 419,Node 422,,,
Pennsylvania,GG,Node 423,Node 423,Node 424,,,
Pennsylvania,GG,Node 423,Node 423,Node 425,,,
Pennsylvania,GG,Node 423,Node 423,Node 426,,,
Pennsylvania,GG,Node 427,Node 427,Node 428,,,
Pennsylvania,GG,Node 427,Node 427,Node 429,,,
Pennsylvania,GG,Node 427,Node 427,Node 430,,,
Pennsylvania,GG,Node 431,Node 431,Node 432,,,
Pennsylvania,GG,Node 431,Node 431,Node 433,,,
Pennsylvania,GG,Node 431,Node 431,Node 434,,,
Pennsylvania,GG,Node 435,Node 435,Node 436,,,
Pennsylvania,GG,Node 435,Node 435,Node 437,,,
Pennsylvania,GG,Node 435,Node 435,Node 438,,,
Pennsylvania,GG,Node 439,Node 439,Node 440,,,
Pennsylvania,GG,Node 439,Node 439,Node 441,,,
Pennsylvania,GG,Node 439,Node 439,Node 442,,,
Pennsylvania,GG,Node 443,Node 443,Node 444,,,
Pennsylvania,GG,Node 443,Node 443,Node 445,,,
Pennsylvania,GG,Node 443,Node 443,Node 446,,,
Pennsylvania,HH,Node 448,Node 448,Node 449,,,
Pennsylvania,HH,Node 448,Node 448,Node 450,,,
Pennsylvania,HH,Node 448,Node 448,Node 451,,,
Pennsylvania,HH,Node 452,Node 452,Node 453,,,
Pennsylvania,HH,Node 452,Node 452,Node 454,,,
Pennsylvania,HH,Node 452,Node 452,Node 454,,,
Pennsylvania,HH,Node 456,Node 456,Node 457,,,
Pennsylvania,HH,Node 456,Node 456,Node 458,,,
Pennsylvania,HH,Node 456,Node 456,Node 459,,,
Pennsylvania,HH,Node 460,Node 460,Node 461,,,
Pennsylvania,HH,Node 460,Node 460,Node 462,,,
Pennsylvania,HH,Node 460,Node 460,Node 463,,,
Pennsylvania,HH,Node 464,Node 464,Node 465,,,
Pennsylvania,HH,Node 464,Node 464,Node 466,,,
Pennsylvania,HH,Node 464,Node 464,Node 467,,,
Pennsylvania,HH,Node 468,Node 468,Node 469,,,
Pennsylvania,HH,Node 468,Node 468,Node 470,,,
Pennsylvania,HH,Node 468,Node 468,Node 471,,,
Pennsylvania,JJ,Node 473,Node 473,Node 474,,,
Pennsylvania,JJ,Node 473,Node 473,Node 475,,,
Pennsylvania,JJ,Node 473,Node 473,Node 476,,,
Pennsylvania,JJ,Node 477,Node 477,Node 478,,,
Pennsylvania,JJ,Node 477,Node 477,Node 479,,,
Pennsylvania,JJ,Node 477,Node 477,Node 480,,,
Pennsylvania,KK,Node 482,Node 482,Node 483,,,
Pennsylvania,KK,Node 482,Node 482,Node 484,,,
Pennsylvania,KK,Node 482,Node 482,Node 485,,,
Pennsylvania,KK,Node 486,Node 486,Node 487,,,
Pennsylvania,KK,Node 486,Node 486,Node 488,,,
Pennsylvania,KK,Node 486,Node 486,Node 489,,,
Pennsylvania,KK,Node 490,Node 490,Node 491,,,
Pennsylvania,KK,Node 490,Node 490,Node 492,,,
Pennsylvania,KK,Node 490,Node 490,Node 493,,,
Pennsylvania,LL,Node 495,Node 495,Node 496,,,
Pennsylvania,LL,Node 495,Node 495,Node 497,,,
Pennsylvania,LL,Node 495,Node 495,Node 498,,,
Pennsylvania,LL,Node 499,Node 499,Node 1500,,,
Pennsylvania,LL,Node 499,Node 499,Node 1501,,,
Pennsylvania,LL,Node 499,Node 499,Node 1502,,,
Pennsylvania,LL,Node 1503,Node 1503,Node 1504,,,
Pennsylvania,LL,Node 1503,Node 1503,Node 1505,,,
Pennsylvania,LL,Node 1503,Node 1503,Node 1506,,,
Pennsylvania,MM,Node 1508,Node 1508,Node 1509,,,
Pennsylvania,MM,Node 1508,Node 1508,Node 1510,,,
Pennsylvania,MM,Node 1508,Node 1508,Node 1511,,,
Pennsylvania,MM,Node 1512,Node 1512,Node 1513,,,
Pennsylvania,MM,Node 1512,Node 1512,Node 1514,,,
Pennsylvania,MM,Node 1512,Node 1512,Node 1515,,,
Pennsylvania,MM,Node 1516,Node 1516,Node 1517,,,
Pennsylvania,MM,Node 1516,Node 1516,Node 1518,,,
Pennsylvania,MM,Node 1516,Node 1516,Node 1519,,,
Pennsylvania,NN,Node 1521,Node 1521,Node 1522,,,
Pennsylvania,NN,Node 1521,Node 1521,Node 1523,,,
Pennsylvania,NN,Node 1521,Node 1521,Node 1524,,,
Pennsylvania,NN,Node 1525,Node 1525,Node 1526,,,
Pennsylvania,NN,Node 1525,Node 1525,Node 1527,,,
Pennsylvania,NN,Node 1525,Node 1525,Node 1528,,,
Pennsylvania,NN,Node 1529,Node 1529,Node 1530,,,
Pennsylvania,NN,Node 1529,Node 1529,Node 1531,,,
Pennsylvania,NN,Node 1529,Node 1529,Node 1532,,,
Pennsylvania,NN,Node 1533,Node 1533,Node 1534,,,
Pennsylvania,NN,Node 1533,Node 1533,Node 1535,,,
Pennsylvania,NN,Node 1533,Node 1533,Node 1536,,,
Pennsylvania,PP,Node 1538,Node 1538,1539,,,
Pennsylvania,PP,Node 1538,Node 1538,1540,,,
Pennsylvania,PP,Node 1538,Node 1538,1541,,,
Pennsylvania,PP,Node 1542,Node 1542,1543,,,
Pennsylvania,PP,Node 1542,Node 1542,1544,,,
Pennsylvania,PP,Node 1542,Node 1542,1545,,,
Pennsylvania,PP,Node 1546,Node 1546,1547,,,
Pennsylvania,PP,Node 1546,Node 1546,1548,,,
Pennsylvania,PP,Node 1546,Node 1546,1549,,,
Pennsylvania,PP,Node 1560,Node 1560,1561,,,
Pennsylvania,PP,Node 1560,Node 1560,1562,,,
Pennsylvania,PP,Node 1560,Node 1560,1563,,,
Pennsylvania,RR,Node 1565,Node 1565,1566,,,
Pennsylvania,RR,Node 1565,Node 1565,1567,,,
Pennsylvania,RR,Node 1565,Node 1565,1568,,,
Pennsylvania,RR,Node 1569,Node 1569,1570,,,
Pennsylvania,RR,Node 1569,Node 1569,1571,,,
Pennsylvania,RR,Node 1569,Node 1569,1572,,,
Pennsylvania,RR,Node 1573,Node 1573,1574,,,
Pennsylvania,RR,Node 1573,Node 1573,1575,,,
Pennsylvania,RR,Node 1573,Node 1573,1576,,,
Pennsylvania,RR,Node 1577,Node 1577,1578,,,
Pennsylvania,RR,Node 1577,Node 1577,1579,,,
Pennsylvania,RR,Node 1577,Node 1577,1580,,,
