state,state_node_size,state_infection,region,region_node_size,region_infection,station_name,county,county_node_size,county_infection,local,local_node_size,local_infection
Florida,5000,0.001,Region A,3000,0.01,Node 38,Node 38,1000,0.23,Node 40,500,0.25
Florida,5000,0.001,Region A,3000,0.01,Node 38,Node 38,1000,0.04,Node 41,500,0.25
Florida,5000,0.001,Region B,3000,0.01,Node 43,Node 43,1000,0.18,Node 44,500,0.2
Florida,5000,0.001,Region B,3000,0.01,Node 43,Node 43,1000,0.19,Node 45,500,0.64
Florida,5000,0.001,Region B,3000,0.01,Node 43,Node 43,1000,0.16,Node 47,500,0.75
Florida,5000,0.001,Region B,3000,0.01,Node 48,Node 48,1000,0.03,Node 49,500,0.71
Florida,5000,0.001,Region B,3000,0.01,Node 48,Node 48,1000,0.08,Node 50,500,0.18
Florida,5000,0.001,Region B,3000,0.01,Node 48,Node 48,1000,0.23,Node 51,500,0.14
Florida,5000,0.001,Region B,3000,0.01,Node 52,Node 52,1000,0.11,Node 53,500,0.25
Florida,5000,0.001,Region B,3000,0.01,Node 52,Node 52,1000,0.07,Node 54,500,0.36
Florida,5000,0.001,Region B,3000,0.01,Node 52,Node 52,1000,0.16,Node 55,500,0.19
Florida,5000,0.001,Region B,3000,0.01,Node 56,Node 56,1000,0.03,Node 57,500,0.1
Florida,5000,0.001,Region B,3000,0.01,Node 56,Node 56,1000,0.25,Node 58,500,0.55
Florida,5000,0.001,Region B,3000,0.01,Node 56,Node 56,1000,0.23,Node 59,500,0.12
Florida,5000,0.001,Region B,3000,0.01,Node 60,Node 60,1000,0.17,Node 61,500,0.7
Florida,5000,0.001,Region B,3000,0.01,Node 60,Node 60,1000,0.07,Node 62,500,0.32
Florida,5000,0.001,Region B,3000,0.01,Node 60,Node 60,1000,0.01,Node 63,500,0.28
Florida,5000,0.001,Region B,3000,0.01,Node 64,Node 64,1000,0.21,Node 65,500,0.65
Florida,5000,0.001,Region B,3000,0.01,Node 64,Node 64,1000,0.11,Node 66,500,0.03
Florida,5000,0.001,Region B,3000,0.01,Node 64,Node 64,1000,0.15,Node 67,500,0.21
Florida,5000,0.001,Region B,3000,0.01,Node 68,Node 68,1000,0.19,Node 69,500,0.16
Florida,5000,0.001,Region B,3000,0.01,Node 68,Node 68,1000,0.24,Node 70,500,0.36
Florida,5000,0.001,Region B,3000,0.01,Node 68,Node 68,1000,0.01,Node 71,500,0.45
Florida,5000,0.001,Region B,3000,0.01,Node 72,Node 72,1000,0.22,Node 73,500,0.5
Florida,5000,0.001,Region B,3000,0.01,Node 72,Node 72,1000,0.22,Node 74,500,0.3
Florida,5000,0.001,Region B,3000,0.01,Node 72,Node 72,1000,0.09,Node 75,500,0.08
Florida,5000,0.001,Region B,3000,0.01,Node 76,Node 76,1000,0.04,Node 77,500,0.36
Florida,5000,0.001,Region B,3000,0.01,Node 76,Node 76,1000,0.09,Node 78,500,0.28
Florida,5000,0.001,Region B,3000,0.01,Node 76,Node 76,1000,0.05,Node 79,500,0.71
Florida,5000,0.001,Region B,3000,0.01,Node 80,Node 80,1000,0.16,Node 81,500,0.62
Florida,5000,0.001,Region B,3000,0.01,Node 80,Node 80,1000,0.12,Node 82,500,0.31
Florida,5000,0.001,Region B,3000,0.01,Node 80,Node 80,1000,0.09,Node 83,500,0.13
Florida,5000,0.001,Region B,3000,0.01,Node 84,Node 84,1000,0.12,Node 85,500,0.25
Florida,5000,0.001,Region B,3000,0.01,Node 84,Node 84,1000,0.21,Node 86,500,0.25
Florida,5000,0.001,Region B,3000,0.01,Node 84,Node 84,1000,0.22,Node 87,500,0.09
Florida,5000,0.001,Region B,3000,0.01,Node 88,Node 88,1000,0.11,Node 89,500,0.72
Florida,5000,0.001,Region B,3000,0.01,Node 88,Node 88,1000,0.06,Node 90,500,0.09
Florida,5000,0.001,Region B,3000,0.01,Node 88,Node 88,1000,0.12,Node 91,500,0
Florida,5000,0.001,Region B,3000,0.01,Node 92,Node 92,1000,0.25,Node 93,500,0.6
Florida,5000,0.001,Region B,3000,0.01,Node 92,Node 92,1000,0.23,Node 94,500,0.64
Florida,5000,0.001,Region B,3000,0.01,Node 92,Node 92,1000,0.21,Node 95,500,0.42
Florida,5000,0.001,Region C,3000,0.01,Node 97,Node 97,1000,0.11,Node 98,500,0.24
Florida,5000,0.001,Region C,3000,0.01,Node 97,Node 97,1000,0.11,Node 99,500,0.45
Florida,5000,0.001,Region C,3000,0.01,Node 97,Node 97,1000,0.14,Node 100,500,0.67
Florida,5000,0.001,Region C,3000,0.01,Node 101,Node 101,1000,0.09,Node 102,500,0.46
Florida,5000,0.001,Region C,3000,0.01,Node 101,Node 101,1000,0.12,Node 103,500,0.71
Florida,5000,0.001,Region C,3000,0.01,Node 101,Node 101,1000,0.13,Node 104,500,0.32
Florida,5000,0.001,Region C,3000,0.01,Node 105,Node 105,1000,0,Node 106,500,0.62
Florida,5000,0.001,Region C,3000,0.01,Node 105,Node 105,1000,0.2,Node 107,500,0.49
Florida,5000,0.001,Region C,3000,0.01,Node 105,Node 105,1000,0.18,Node 108,500,0.12
Florida,5000,0.001,Region C,3000,0.01,Node 109,Node 109,1000,0.2,Node 110,500,0.25
Florida,5000,0.001,Region C,3000,0.01,Node 109,Node 109,1000,0.14,Node 111,500,0.45
Florida,5000,0.001,Region C,3000,0.01,Node 109,Node 109,1000,0.15,Node 112,500,0.32
Florida,5000,0.001,Region C,3000,0.01,Node 113,Node 113,1000,0.18,Node 114,500,0.48
Florida,5000,0.001,Region C,3000,0.01,Node 113,Node 113,1000,0.04,Node 115,500,0.58
Florida,5000,0.001,Region C,3000,0.01,Node 113,Node 113,1000,0.11,Node 116,500,0.7
Florida,5000,0.001,Region C,3000,0.01,Node 117,Node 117,1000,0.08,Node 118,500,0.57
Florida,5000,0.001,Region C,3000,0.01,Node 117,Node 117,1000,0.05,Node 119,500,0.06
Florida,5000,0.001,Region C,3000,0.01,Node 117,Node 117,1000,0.02,Node 120,500,0.11
Florida,5000,0.001,Region C,3000,0.01,Node 121,Node 121,1000,0.22,Node 122,500,0.65
Florida,5000,0.001,Region C,3000,0.01,Node 121,Node 121,1000,0.17,Node 123,500,0.41
Florida,5000,0.001,Region C,3000,0.01,Node 121,Node 121,1000,0.19,Node 124,500,0.36
Florida,5000,0.001,Region C,3000,0.01,Node 125,Node 125,1000,0.23,Node 126,500,0.27
Florida,5000,0.001,Region C,3000,0.01,Node 125,Node 125,1000,0.04,Node 127,500,0.65
Florida,5000,0.001,Region C,3000,0.01,Node 125,Node 125,1000,0.13,Node 128,500,0.02
Florida,5000,0.001,Region C,3000,0.01,Node 129,Node 129,1000,0.21,Node 130,500,0.17
Florida,5000,0.001,Region C,3000,0.01,Node 129,Node 129,1000,0.12,Node 131,500,0.42
Florida,5000,0.001,Region C,3000,0.01,Node 129,Node 129,1000,0.16,Node 132,500,0.62
Florida,5000,0.001,Region C,3000,0.01,Node 133,Node 133,1000,0,Node 134,500,0.63
Florida,5000,0.001,Region C,3000,0.01,Node 133,Node 133,1000,0.13,Node 135,500,0.22
Florida,5000,0.001,Region C,3000,0.01,Node 133,Node 133,1000,0.2,Node 136,500,0.73
Florida,5000,0.001,Region C,3000,0.01,Node 137,Node 137,1000,0.02,Node 138,500,0.32
Florida,5000,0.001,Region C,3000,0.01,Node 137,Node 137,1000,0.18,Node 139,500,0.57
Florida,5000,0.001,Region C,3000,0.01,Node 137,Node 137,1000,0.25,Node 140,500,0.29
Florida,5000,0.001,Region C,3000,0.01,Node 141,Node 141,1000,0.09,Node 142,500,0.48
Florida,5000,0.001,Region C,3000,0.01,Node 141,Node 141,1000,0.12,Node 143,500,0.48
Florida,5000,0.001,Region C,3000,0.01,Node 141,Node 141,1000,0.25,Node 144,500,0.17
Florida,5000,0.001,Region C,3000,0.01,Node 145,Node 145,1000,0.14,Node 146,500,0.37
Florida,5000,0.001,Region C,3000,0.01,Node 145,Node 145,1000,0.21,Node 147,500,0.23
Florida,5000,0.001,Region C,3000,0.01,Node 145,Node 145,1000,0.04,Node 148,500,0.54
Florida,5000,0.001,Region D,3000,0.01,Node 150,Node 150,1000,0.19,Node 151,500,0.62
Florida,5000,0.001,Region D,3000,0.01,Node 150,Node 150,1000,0.01,Node 152,500,0.17
Florida,5000,0.001,Region D,3000,0.01,Node 150,Node 150,1000,0.12,Node 153,500,0.14
Florida,5000,0.001,Region D,3000,0.01,Node 154,Node 154,1000,0.24,Node 155,500,0.16
Florida,5000,0.001,Region D,3000,0.01,Node 154,Node 154,1000,0.07,Node 156,500,0.48
Florida,5000,0.001,Region D,3000,0.01,Node 154,Node 154,1000,0.1,Node 157,500,0.65
Florida,5000,0.001,Region D,3000,0.01,Node 158,Node 158,1000,0.05,Node 159,500,0.27
Florida,5000,0.001,Region D,3000,0.01,Node 158,Node 158,1000,0.08,Node 160,500,0.12
Florida,5000,0.001,Region D,3000,0.01,Node 158,Node 158,1000,0.04,Node 161,500,0.66
Florida,5000,0.001,Region D,3000,0.01,Node 162,Node 162,1000,0.23,Node 163,500,0.6
Florida,5000,0.001,Region D,3000,0.01,Node 162,Node 162,1000,0.23,Node 164,500,0.62
Florida,5000,0.001,Region D,3000,0.01,Node 162,Node 162,1000,0.22,Node 165,500,0.67
Florida,5000,0.001,Region D,3000,0.01,Node 166,Node 166,1000,0.18,Node 167,500,0.74
Florida,5000,0.001,Region D,3000,0.01,Node 166,Node 166,1000,0.1,Node 168,500,0.06
Florida,5000,0.001,Region D,3000,0.01,Node 166,Node 166,1000,0.19,Node 169,500,0.08
Florida,5000,0.001,Region D,3000,0.01,Node 170,Node 170,1000,0.02,Node 171,500,0.5
Florida,5000,0.001,Region D,3000,0.01,Node 170,Node 170,1000,0.17,Node 172,500,0.6
Florida,5000,0.001,Region D,3000,0.01,Node 170,Node 170,1000,0.14,Node 173,500,0.51
Florida,5000,0.001,Region D,3000,0.01,Node 174,Node 174,1000,0.11,Node 175,500,0.57
Florida,5000,0.001,Region D,3000,0.01,Node 174,Node 174,1000,0.07,Node 176,500,0.68
Florida,5000,0.001,Region D,3000,0.01,Node 174,Node 174,1000,0.11,Node 177,500,0.72
Florida,5000,0.001,Region D,3000,0.01,Node 178,Node 178,1000,0.07,Node 179,500,0.34
Florida,5000,0.001,Region D,3000,0.01,Node 178,Node 178,1000,0.22,Node 180,500,0.05
Florida,5000,0.001,Region D,3000,0.01,Node 178,Node 178,1000,0.09,Node 181,500,0.42
Florida,5000,0.001,Region D,3000,0.01,Node 182,Node 182,1000,0.22,Node 183,500,0.42
Florida,5000,0.001,Region D,3000,0.01,Node 182,Node 182,1000,0.14,Node 184,500,0.2
Florida,5000,0.001,Region D,3000,0.01,Node 182,Node 182,1000,0.04,Node 185,500,0.53
Florida,5000,0.001,Region E,3000,0.01, Node 187, Node 187,1000,0.08,Node 188,500,0.48
Florida,5000,0.001,Region E,3000,0.01, Node 187, Node 187,1000,0.01,Node 189,500,0.06
Florida,5000,0.001,Region E,3000,0.01, Node 187, Node 187,1000,0.04,Node 190,500,0.19
Florida,5000,0.001,Region E,3000,0.01, Node 191, Node 191,1000,0.12,Node 192,500,0.16
Florida,5000,0.001,Region E,3000,0.01, Node 191, Node 191,1000,0.11,Node 193,500,0.31
Florida,5000,0.001,Region E,3000,0.01, Node 191, Node 191,1000,0.07,Node 194,500,0.75
Florida,5000,0.001,Region E,3000,0.01, Node 195, Node 195,1000,0.07,Node 196,500,0.37
Florida,5000,0.001,Region E,3000,0.01, Node 195, Node 195,1000,0.08,Node 197,500,0.6
Florida,5000,0.001,Region E,3000,0.01, Node 195, Node 195,1000,0.2,Node 198,500,0.38
Florida,5000,0.001,Region E,3000,0.01,Node 199,Node 199,1000,0.16,Node 200,500,0.29
Florida,5000,0.001,Region E,3000,0.01,Node 199,Node 199,1000,0.25,Node 201,500,0.14
Florida,5000,0.001,Region E,3000,0.01,Node 199,Node 199,1000,0.03,Node 202,500,0.58
Florida,5000,0.001,Region E,3000,0.01,Node 203,Node 203,1000,0.23,Node 204,500,0.66
Florida,5000,0.001,Region E,3000,0.01,Node 203,Node 203,1000,0.14,Node 205,500,0.32
Florida,5000,0.001,Region E,3000,0.01,Node 203,Node 203,1000,0.16,Node 206,500,0.55
Florida,5000,0.001,Region E,3000,0.01,Node 207,Node 207,1000,0.24,Node 208,500,0.05
Florida,5000,0.001,Region E,3000,0.01,Node 207,Node 207,1000,0,Node 209,500,0.28
Florida,5000,0.001,Region E,3000,0.01,Node 207,Node 207,1000,0.25,Node 210,500,0.71
Florida,5000,0.001,Region E,3000,0.01,Node 211,Node 211,1000,0.01,Node 212,500,0.02
Florida,5000,0.001,Region E,3000,0.01,Node 211,Node 211,1000,0.15,Node 213,500,0.04
Florida,5000,0.001,Region E,3000,0.01,Node 211,Node 211,1000,0.11,Node 214,500,0.37
Florida,5000,0.001,Region E,3000,0.01,Node 215,Node 215,1000,0.24,Node 216,500,0.74
Florida,5000,0.001,Region E,3000,0.01,Node 215,Node 215,1000,0,Node 217,500,0.23
Florida,5000,0.001,Region E,3000,0.01,Node 215,Node 215,1000,0.03,Node 218,500,0.53
Florida,5000,0.001,Region E,3000,0.01,Node 219,Node 219,1000,0.23,Node 220,500,0.22
Florida,5000,0.001,Region E,3000,0.01,Node 219,Node 219,1000,0.22,Node 221,500,0.43
Florida,5000,0.001,Region E,3000,0.01,Node 219,Node 219,1000,0.01,Node 222,500,0.3
Florida,5000,0.001,Region F,3000,0.01,Node 234,Node 234,1000,0.22,Node 235,500,0.12
Florida,5000,0.001,Region F,3000,0.01,Node 234,Node 234,1000,0,Node 236,500,0.1
Florida,5000,0.001,Region F,3000,0.01,Node 234,Node 234,1000,0.18,Node 237,500,0.09
Florida,5000,0.001,Region F,3000,0.01,Node 238,Node 238,1000,0.19,Node 239,500,0.12
Florida,5000,0.001,Region F,3000,0.01,Node 238,Node 238,1000,0.18,Node 240,500,0.56
Florida,5000,0.001,Region F,3000,0.01,Node 238,Node 238,1000,0.08,Node 241,500,0.06
Florida,5000,0.001,Region F,3000,0.01,Node 242,Node 242,1000,0.18,Node 243,500,0.3
Florida,5000,0.001,Region F,3000,0.01,Node 242,Node 242,1000,0.08,Node 244,500,0.32
Florida,5000,0.001,Region F,3000,0.01,Node 242,Node 242,1000,0.14,Node 245,500,0.43
Florida,5000,0.001,Region F,3000,0.01,Node 246,Node 246,1000,0.07,Node 247,500,0.71
Florida,5000,0.001,Region F,3000,0.01,Node 246,Node 246,1000,0.09,Node 248,500,0.29
Florida,5000,0.001,Region F,3000,0.01,Node 246,Node 246,1000,0.08,Node 249,500,0.18
Florida,5000,0.001,Region F,3000,0.01,Node 250,Node 250,1000,0.09,Node 251,500,0.73
Florida,5000,0.001,Region F,3000,0.01,Node 250,Node 250,1000,0.17,Node 252,500,0.7
Florida,5000,0.001,Region F,3000,0.01,Node 250,Node 250,1000,0.24,Node 253,500,0.67
Florida,5000,0.001,Region F,3000,0.01,Node 254,Node 254,1000,0.07,Node 255,500,0.02
Florida,5000,0.001,Region F,3000,0.01,Node 254,Node 254,1000,0.24,Node 256,500,0.6
Florida,5000,0.001,Region F,3000,0.01,Node 254,Node 254,1000,0.2,Node 257,500,0.17
Florida,5000,0.001,Region F,3000,0.01,Node 258,Node 258,1000,0.2,Node 259,500,0.23
Florida,5000,0.001,Region F,3000,0.01,Node 258,Node 258,1000,0.24,Node 260,500,0.52
Florida,5000,0.001,Region F,3000,0.01,Node 258,Node 258,1000,0.1,Node 261,500,0.16
Florida,5000,0.001,Region F,3000,0.01,Node 262,Node 262,1000,0.24,Node 263,500,0.08
Florida,5000,0.001,Region F,3000,0.01,Node 262,Node 262,1000,0.03,Node 264,500,0.61
Florida,5000,0.001,Region F,3000,0.01,Node 262,Node 262,1000,0.02,Node 265,500,0.03
Florida,5000,0.001,Region F,3000,0.01,Node 266,Node 266,1000,0.08,Node 267,500,0.42
Florida,5000,0.001,Region F,3000,0.01,Node 266,Node 266,1000,0,Node 268,500,0.38
Florida,5000,0.001,Region F,3000,0.01,Node 266,Node 266,1000,0.07,Node 269,500,0.41
Florida,5000,0.001,Region G,3000,0.01,Node 271,Node 271,1000,0.18,Node 272,500,0.68
Florida,5000,0.001,Region G,3000,0.01,Node 271,Node 271,1000,0.21,Node 273,500,0.42
Florida,5000,0.001,Region G,3000,0.01,Node 271,Node 271,1000,0.07,Node 274,500,0.53
Florida,5000,0.001,Region G,3000,0.01,Node 275,Node 275,1000,0.06,Node 276,500,0.32
Florida,5000,0.001,Region G,3000,0.01,Node 275,Node 275,1000,0.23,Node 277,500,0.57
Florida,5000,0.001,Region G,3000,0.01,Node 275,Node 275,1000,0.24,Node 278,500,0.05
Florida,5000,0.001,Region G,3000,0.01,Node 279,Node 279,1000,0.07,Node 280,500,0.16
Florida,5000,0.001,Region G,3000,0.01,Node 279,Node 279,1000,0.16,Node 281,500,0.34
Florida,5000,0.001,Region G,3000,0.01,Node 279,Node 279,1000,0.04,Node 282,500,0.63
Florida,5000,0.001,Region G,3000,0.01,Node 283,Node 283,1000,0.25,Node 284,500,0.33
Florida,5000,0.001,Region G,3000,0.01,Node 283,Node 283,1000,0.22,Node 285,500,0.67
Florida,5000,0.001,Region G,3000,0.01,Node 283,Node 283,1000,0.19,Node 286,500,0.53
